Order ID,Order Date,Destination Port,Carrier,TPT,Service Level,Ship ahead day count,Ship Late Day count,Customer,Product ID,Origin Plant,Unit quantity,Weight,Freight Rate,Minimum weight,Cost per unit,Total Cost,Supply,Demand
1447296447,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,808,14.3,40.47,250,1.92,1551.2,457,173
1447158015,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,3188,87.94,248.87,65,1.92,6120.35,457,173
1447138899,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,2331,61.2,173.2,60,1.92,4475.07,457,173
1447363528,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,847,16.16,45.73,50,1.92,1626.08,457,173
1447363981,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,2163,52.34,148.12,35,1.92,4152.54,457,173
1447351441,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,3332,92.8,262.62,100,1.92,6396.8,457,173
1447320236,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,1782,46.9,132.73,500,1.92,3421.1,457,173
1447158019,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,427,2.86,8.09,55,1.92,819.76,457,173
1447219341,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,1291,26.6,75.28,25,1.92,2478.47,457,173
1447398416,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,2294,62.2,176.03,30,1.92,4404.04,457,173
1447381679,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,2766,75.5,213.67,70,1.92,5310.19,457,173
1447170785,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1700106,PLANT16,798,14.3,40.47,10,1.92,1532.01,457,173
1447155056,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,739,73.9,209.14,0,1.92,1418.74,457,173
1447257265,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,280,7.8,22.07,5,1.92,537.55,457,173
1447240989,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,574,59.5,168.39,2000,1.92,1101.97,457,173
1447257231,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,556,52.7,149.14,45,1.92,1067.41,457,173
1447260653,26-05-2013,PORT09,V44_3,1,CRF,3,0,V55555_53,1697884,PLANT16,544,58.5,165.56,20,1.92,1044.38,457,173
